id,name,text,trans
0000000000000,プロデューサー,──恋鐘、リラックスしてるみたいだな,"코가네, 릴랙스하고 있는 것 같네 "
6004002030010,恋鐘,"うん～！
客席のば～りあったまっとるばい～！","응 ~ !
객석을 겁~나 뜨겁게 만들 거시여 ~ !"
0000000000000,プロデューサー,うん。みんな、待ってるぞ,"응. 모두, 기다리고 있어 "
6004002030020,恋鐘,"えへへ～！
ざっぷ～んってしてくるけん、見とって～！","에헤헤 ~ !
풍덩~하고 올테니까, 보고 있어줘 ~ !"
0000000000000,プロデューサー,ははっ、ダイブはやめてくれよ？,"하핫, 다이브는 관둬주라?"
6004002030030,恋鐘,"そ、そがんことせんってー
あつ～くなっとる空気に、飛び込むってゆう意味！","그, 그런 거 안헌당께
뜨겁~게 된 공기에, 뛰어든다는 의미여!"
0000000000000,プロデューサー,"そうだな、みんなに見てもらおう
『うちらが揃えば最強』ってさ","그렇구나, 모두에게 보여주자
『우리들이 모이면 최강』이라고 말야"
6004002030040,恋鐘,"んふふ～！
うちらは１万年前から最強ばい～！","응후후 ~ !
우리들은 1만년 전부터 최강이여 ~ !"
6004002030050,恋鐘,ばってん──,글치만
6004002030060,恋鐘,なんか、今はもっと……もっとすごか感じ,"왠지, 오늘은 더욱……더욱 굉장헌 느낌이여 "
6004002030070,恋鐘,ばりすごかアンティーカ！,겁나 굉장헌 안티카!
0000000000000,プロデューサー,……ばりすごかアンティーカ,"……겁나 굉장한 안티카 "
6004002030080,恋鐘,"うん～！
プロデューサー！　み～んな連れて、出発ばい～！","응 ~ !
프로듀서! 모 ~ 두 데리고서, 출발이여 ~ !"
6004002030090,恋鐘,どっか……ば～りすごかとこへ……！,어딘가…… 겁 ~ 나 굉장한 곳에…… !
info,produce_events/600400203.json,
译者,,
