id,name,text,trans
1004001000410010,恋鐘,"おはよー、プロデューサー！　よかとこにおったばい！
ちょっと相談があるんよー","좋은 아침, 프로듀서! 좋은 때에 왔구마!
쪼깨 상담이 있어야"
0000000000000,プロデューサー,どうしたんだ？,무슨 일이야?
1004001000410020,恋鐘,"ほら、うちもついにアイドルの仲間入りしたやろ？
握手会ではどんなんが喜ばれるんかなーって考えてて","자, 내도 드디어 아이돌반열에 들었잖여?
악수회에선 뭘 혀야 기뻐해 줄까 생각혔어야 "
0000000000000,プロデューサー,(握手会での対応か……）,( 악수회에서의 대응인가…… )
select,,両手で笑顔の握手,양손으로 미소지으면서 악수
select,,片手でがっちり握手,한손으로 단단히 악수
select,,"想いを込めて
長めに握手","마음을 담아서 
길게 악수"
1004001000410030,恋鐘,うんうん！　アイドルの王道やね！,응응! 아이돌의 왕도구마!
1004001000410040,恋鐘,"ファンの手を両手でしっかり包んで一番の笑顔！
これはばーり喜んでくれそうたい！","팬의 손을 양손으로 제대로 감싸고 최고의 미소!
이건 겁나 기뻐해 줄 것 같어야!"
0000000000000,プロデューサー,（よし、楽しく話せたな）,( 좋아、즐겁게 이야기했다 )
1004001000410050,恋鐘,"なるほどー、ファンとがっちり握手して
うちの元気をみんなに送るわけやね！","과연, 팬허고 단단히 악수혀서
내 기운을 모두에게 보내는 방법이 있구마!"
1004001000410060,恋鐘,"握手したファンが一週間くらい寝んで良くなるほど
うちのパワーを注入するばい！","악수한 팬이 일주일정도 쉬어도 좋을만큼
내 파워를 주입할 거시여!"
0000000000000,プロデューサー,（まぁ、普通に話せたかな）,( 뭐、평범하게 이야기했나 )
1004001000410070,恋鐘,"おー、確かに想いを込めるんは大事やね！
ばってん握手会の時間足りるかなー？","오, 확실히 마음을 담는 것은 중요허제!
근디 악수회의 시간 부족하지 않을랑가?"
1004001000410080,恋鐘,それに長ければいいってこともなかろ？,게다가 길어도 되는 것도 아니잖여?
0000000000000,プロデューサー,（うっ……しまった。別のことを言えば良かったな……）,( 윽…… 실수다. 다른 얘기를 했다면 좋았을 걸…… )
info,produce_communications/100400100041.json,
译者,,
