id,name,text,trans
0000000000000,プロデューサー,"ふぅ……
今日の仕事はちょっと時間かかったな……","후우……
오늘 일은 좀 꽤나 시간 걸렸네……."
2002003010010,灯織,……,……
0000000000000,プロデューサー,"あれ？　灯織じゃないか
こんな時間までどうしたんだ？","어라? 히오리잖아
이런 시간까지 뭐하고 있었어?"
2002003010020,灯織,"あ……プロデューサー
お疲れ様です","아…….. 프로듀서
수고 많으세요"
2002003010030,灯織,"少し時間があったので
さっきまで自主レッスンをしていました","조금 시간 있어서
아까 전부터 자율 레슨하고 있었어요"
0000000000000,プロデューサー,"そう言えば、スケジュールを組んだとき
ダンスを重点的にやる期間だって言ってたな","그러고 보니까 스케줄 짤 때
댄스를 중점적으로 하자고 말했었지"
2002003010040,灯織,覚えていてくれたんですね,기억하고 계셨네요
0000000000000,プロデューサー,"そりゃあ覚えてるさ
遅くまでお疲れ様","그거야 기억하고 있지
늦게까지 수고 많네"
2002003010050,灯織,"ありがとうございます……
でも、やる度に自分ができないことに気付かされて……","고마워요……
하지만, 하면 할 수록 저로선 안되는것 같아서…….."
0000000000000,プロデューサー,"……灯織
もしかして、何か悩んでるのか？","……히오리
혹시, 뭔가 고민 있어?"
2002003010060,灯織,"え？
いえ、そんなことは……ないと思いますが","네?
아뇨, 그런 건…… 없긴 한데요"
0000000000000,プロデューサー,"人に話して解決することもあると思うぞ
良かったら、俺に話してくれないか？","다른 사람과 얘기 나눠서 풀릴 수도 있잖아?
괜찮다면, 나한테 말해보지 않을래?"
2002003010070,灯織,"……はい、そうですね
プロデューサーの言うとおり、最近行き詰まっていて","……네, 그렇네요
프로듀서 말씀대로, 요즘 벽에 부딪힌 것 같아요"
0000000000000,プロデューサー,"そうか……でも、俺が前に見た時には
かなり仕上がってるように見えたんだけどな","그렇구나…….. 하지만, 내가 저번에 볼 때에는
꽤 완성된거 같아 보였는데"
2002003010080,灯織,"振り付けどおりにできているとは思います
でも、最後のポーズが今ひとつなんです","안무대로 하는 거면 할 수 있어요
하지만, 마지막 포즈가 별로라서요"
0000000000000,プロデューサー,"キメのポーズか……
自分ではどう感じてるんだ？","마지막 포즈 말이구나……..
너는 어떻게 느끼고 있어?"
2002003010090,灯織,"そうですね……動画を撮って見返してみても
迫力がなく、印象に残らないような……","글쎄요…… 동영상을 찍어서 다시 봐도
박력 없고, 인상에 안 남는거 같아서……"
0000000000000,プロデューサー,"迫力……
もしかしたら、メリハリが足りてないんじゃないか？","박력이라……
혹시, 완급이 부족한게 아닐까?"
2002003010100,灯織,メリハリ、ですか……？,"완급, 말인가요……?"
0000000000000,プロデューサー,"ああ。他のアイドルのダンスの動画なんだが……
これを見てくれ","맞아, 다른 아이돌 댄스 영상인데…….
이거 한번 봐 줘"
