id,name,text,trans
0000000000000,プロデューサー,『15時からの打ち合わせ、よろしくな』,"『15시부터 미팅, 잘 부탁해』"
1002003030010,灯織,"──『はい。これから向かいます
よろしくお願いします』","『네, 이제 가려구요
잘 부탁드립니다』"
1002003030020,灯織,よし……,좋아……
0000000000000,off,『今週はイルミネーションスターズの現場に潜入！』,『이번 주는 일루미네이션 스타즈의 현장에 잠입!』
1002003030030,灯織,……あ,……아
0000000000000,off,"『ミニライブ前のリハーサルにお邪魔しました』
『お楽しみに！』","『미니 라이브 전의 리허설 때에 방문했습니다』
『기대하시길!』"
1002003030040,灯織,この取材、もう放送されるんだ……,"이 취재, 벌써 방송되는구나……"
1002003030050,灯織,…………,…………
1002003030060,灯織,リハの時……,리허설 때……
1002003030070,灯織,真乃、『ステップ間違えちゃった……っ』って言ってたな,"마노,  『스텝 실수해버렸어……』 하고 말했었지"
1002003030080,灯織,めぐるは『ちょっと音程外しちゃった！』って……,메구루는 『살짝 음정이 나갔어!』 하고……
1002003030090,灯織,"本番も、完璧にリカバリーできてたわけじゃなかった
それでも──","본무대 때도 완벽하게 리커버리 할 수 있었던 건 아니었어
그래도……"
1002003030100,灯織,それでも、ふたりはアイドルとして輝いてる……,"그래도, 두 사람은 아이돌로서 반짝이고 있어……"
1002003030110,灯織,ふたりと違うところってどこなんだろう……？,두 사람과 다른 점은 뭘까……?
1002003030120,灯織,ふたりにあって、私にないもの……,"두 사람에게 있고, 내게 없는 것……"
1002003030130,灯織,技術……？,기술……?
1002003030140,灯織,"確かに、技術は大事
歌も、ダンスも、それ以外もそう","확실히, 기술은 중요해
노래도, 댄스도, 그 이외의 것들도 그래"
1002003030150,灯織,"でも、技術だけじゃダメ……
それに、真乃もめぐるも、完璧なわけじゃない","하지만, 기술만으로는 안돼……
게다가, 마노나 메구루도 완벽하지는 않아"
1002003030160,灯織,笑顔、とか……？,"미소, 라든가……?"
1002003030170,灯織,"真乃みたいに癒される笑顔も、
めぐるみたいに元気になれる笑顔もできない","마노처럼 치유가 되는 미소도,
메구루처럼 기운이 생기는 미소도 지을 수 없어"
1002003030180,灯織,"私はあまり自然に笑えてないかも……
──でも","나는 그다지 자연스럽게 웃지 못하는 건지도……
하지만"
1002003030190,灯織,"笑顔を売りにしているアイドルばかりじゃない
笑わなくても、活躍している人はたくさんいる","미소를 주무기로 삼는 아이돌만 있는 건 아니야
웃지 않고도 활약하는 사람들은 많이 있어"
1002003030200,灯織,理由としては弱い……,이유로써는 약해……
1002003030210,灯織,じゃあ、人気……？,"그럼, 인기……?"
1002003030220,灯織,…………,…………
1002003030230,灯織,"アイドルはファンがいてくれてこそ
これは正しい","아이돌은 팬이 있어줘야만 한다
이건 옳아"
1002003030240,灯織,だけど……人数が多ければいいってものじゃない,하지만…… 사람 수가 많기만 하면 되는 것도 아니야
1002003030250,灯織,……………………,…………………
1002003030260,灯織,"わからない……
どうして……","모르겠어……
어째서……"
1002003030270,灯織,…………あれ,…………어라
1002003030280,灯織,"私の理想って、
目指していたアイドルって……","내 이상,
목표하던 아이돌은……"
1002003030290,灯織,……どういうものなんだっけ────,……어떤 것이었지……
0000000000000,？？？,……り,……리
0000000000000,？？？,……おり……灯織？,……오리 ……히오리?
1002003030320,灯織,え……,에……
1002003030330,灯織,あ……！　すみません、私また……,"아……! 죄송해요, 저 또……"
0000000000000,プロデューサー,"いや、大丈夫だよ
それより、灯織の方が心配だ","아니, 괜찮아
그것보다, 히오리가 걱정돼"
0000000000000,プロデューサー,"ちょっと顔色も良くないように見えるし
打ち合わせ、残りはリスケしようか","안색도 조금 안 좋아보이고
남은 미팅 건은 다음에 다시 일정을 잡을까?"
1002003030340,灯織,"いえ、大丈夫です
問題ありません","아뇨, 괜찮아요
문제 없어요"
0000000000000,プロデューサー,そうか……？,그래……?
0000000000000,プロデューサー,"じゃあ、一回休憩を挟もう
飲み物淹れてくるから、ちょっと待っててくれ","그럼, 한 번 휴식하도록 하자
마실 것 좀 가져올 테니까, 잠깐 기다려줘"
1002003030350,灯織,…………,…………
1002003030360,灯織,プロデューサーの迷惑になってる……,프로듀서께 민폐를 끼치고 있어……
1002003030370,灯織,どうすれば……,어떻게 해야……
1002003030380,灯織,"客観的に見られたら、冷静に判断できるのかな
でも客観視ってどうしたら……","객관적으로 보면 냉정하게 판단할 수 있을까
하지만 어떻게 해야 객관적으로 볼 수 있지……"
1002003030390,灯織,──距離を取る、とか……？,"거리를 둔다, 든가……?"
1002003030400,灯織,いやいや、そんなことできるわけないし……,"아니 아니, 그런 거 가능할 리가 없어……"
1002003030410,灯織,"……でも、遠くから見られたら
何かわかるかもしれない……","……하지만, 멀리서 볼 수 있다면
뭔가 알 수 있을지도 몰라……"
1002003030420,灯織,……………………,……………………
1002003030430,灯織,……ダメ、今は仕事に集中しなきゃ,"……안 되지, 지금은 일에 집중해야해"
0000000000000,プロデューサー,（灯織…………）,(히오리…………)
0000000000000,プロデューサー,（……大丈夫だろうか）,(……괜찮으려나)
info,produce_events/100200303.json,
译者,,
