id,name,text,trans
0000000000000,プロデューサー,おはよう。そのメモは……なんだ？,안녕. 그 메모는……… 뭐니?
1002001000110010,灯織,"帰りに洗剤やお米を買うのを忘れないよう、
メモをしていただけです","돌아가는 길에 세제나 쌀 살걸 잊지 않게
메모하고 있었어요"
1002001000110020,灯織,家事は私が担当しているので,집안일은 제가 담당하고 있어서요
0000000000000,プロデューサー,"（どうりで、いろんな生活用品が
ずらりと並んでるわけだ）","(어쩐지 여러 생활 용품이
줄줄이 써져있더니만)"
select,,"まるでひとり
暮らしみたいだ","뭔가 자취
하는거 같아"
select,,大変だな,힘들겠다
select,,えらいな,대견하네
1002001000110030,灯織,"そうかもしれません
洗濯や掃除もやっていますし……","그럴지도 모르겠네요
세탁이나 청소도 하고 있으니……."
1002001000110040,灯織,ずっとこうなので慣れてしまいました,계속 이렇게 하고 있어서 익숙해졌어요
0000000000000,プロデューサー,（よし、楽しく話せたな）,"(좋아, 즐겁게 이야기 한거 같다.)"
1002001000110050,灯織,……お気遣いありがとうございます,…….걱정해 주셔서 고마워요.
1002001000110060,灯織,"でもただの役割ですから、
大変だと思ったことはありません","하지만 단순히 분담 맡은 일이니까, 
힘들다고 생각한 적은 없어요"
0000000000000,プロデューサー,（まぁ、普通に話せたかな）,"(뭐, 평범하게 이야기 한거 같다.)"
1002001000110070,灯織,……こんなの全然、えらくなんてありません,"…….이런게 딱히, 대견하진 않아요"
1002001000110080,灯織,いつもやっている……普通のことです,매일 하는건데…… 평범한거예요
0000000000000,プロデューサー,（うっ……しまった。別のことを言えば良かったな……）,(윽…… 실수다. 다른 얘기를 했다면 좋았을 걸……)
info,produce_communications/100200100011.json,
译者,,
