id,name,text,trans
0000000000000,プロデューサー,その歌番組、このあいだ灯織が出演したやつだな,그 노래 프로그램、저번에 히오리가 출연 한거구나
1002001001210010,灯織,はい、録画しておいたものを見ているんです,네、녹화 해둔거 보고 있었어요
1002001001210020,灯織,"今後のレッスンのために、いろいろ
チェックしたいと思いまして","앞으로 레슨을 위해서、다양한걸
체크할려고 해서요"
0000000000000,プロデューサー,"なるほど。それじゃあ俺もチェックを手伝うよ
そうだな……","그렇구나、그럼 나도 확인 도와줄게
그런데……"
select,,"レッスンの成果が
出てるな","레슨의 성과가
나오고 있구나"
select,,良い表情をしているな,표정 좋은데?
select,,綺麗に映ってるな,예쁘게 잘 나왔네
1002001001210030,灯織,はい、私も手ごたえを感じていました,네、저도 그렇게 느꼈어요
1002001001210040,灯織,"だからプロデューサーにもそう言っていただけて
良かったです","그래서 프로듀서도 그렇게 말해주시니까
좋네요"
0000000000000,プロデューサー,（よし、楽しく話せたな）,(좋아、즐겁게 이야기 한거 같다.)
1002001001210050,灯織,"あ……そう、ですね、自分では気づかなかったです
こんな顔してたなんて……","아…… 그렇、네요. 전 눈치채지 못했어요
이런 얼굴을 하고 있었다니……"
1002001001210060,灯織,"……前は表情が固かったのに、
ちょっと不思議な気分です","……예전에는 표정이 딱딱했는데、
조금 이상한 기분이네요"
0000000000000,プロデューサー,（まぁ、普通に話せたかな）,(뭐、평범하게 이야기 한거 같다.)
1002001001210070,灯織,"それはあくまで、
カメラマンさんの手腕です","그거야 어디까지나、
카메라맨분의 실력이에요"
1002001001210080,灯織,私には……関係ありません,저랑은…… 관련 없어요
0000000000000,プロデューサー,（うっ……しまった。別のことを言えば良かったな……）,(윽…… 실수다. 다른 얘기를 했다면 좋았을 걸……)
info,produce_communications/100200100121.json,
译者,,
