id,name,text,trans
7901001040010,はづき,"残念ですね……。一次審査を突破できたんですし、
この調子で、と思ったんですけど","유감이네요…… 1차 심사를 돌파했으니
이 기세라면, ー이라고 생각했는데요."
7901001040020,はづき,現実は、なかなか厳しいですね……,현실은 꽤 어렵네요……
7902001040010,社長,"しかし、新人アイドルと新人プロデューサーにしては、
悪くない結果だった","그러나 신인 아이돌과 신인 프로듀서치고는
나쁘지 않은 결과였다."
0000000000000,プロデューサー,"でも、まだまだ先にも行けたと思うんです
俺にもっと力があれば……！","그렇지만, 아직 더 앞으로 나아갈 수 있었다고 생각합니다.
제게 더 힘이 있었다면……!"
7902001040020,社長,評価はしているが、弱音を聞きたいわけではないぞ,"평을 하고 있지만, 약한 소리를 듣고 싶은 건 아닐세."
7902001040030,社長,"力が足りないのなら、彼女とともに
これから成長していけばいいだけのことだ","힘이 모자란다면, 그녀와 함께
앞으로도 성장해 나가면 될 뿐이다."
0000000000000,プロデューサー,"……そうですね
彼女に、会いに行ってきます","……그렇네요.
그녀를, 만나러 가겠습니다."
7902001040040,社長,ああ、行ってこい,"그래, 다녀와."
0000000000000,プロデューサー,灯織……結果、聞いたか？,"히오리…… 결과, 들었지?"
7002001040010,灯織,"はい
……まだ、レッスンが足りなかったようですね","네,
……아직, 레슨이 부족했던 것 같네요"
0000000000000,プロデューサー,"灯織、その……
灯織は十分に頑張って……","히오리, 그……
히오리는 충분히 노력해……"
7002001040020,灯織,大丈夫です、そんな言葉は必要ありません,"괜찮습니다, 그런 말은 필요 없어요."
7002001040030,灯織,"……今は慰めよりも、
優先すべきことがあります","……지금은 위로보다, 
우선 해야 할 것이 있어요."
7002001040040,灯織,"私に何が足りなかったのかを考え、
今後のレッスンに反映すべきです","저에게 무엇이 부족했던 것일까를 생각해서,
향후의 레슨에 반영해야 돼요."
0000000000000,プロデューサー,"（……そうか、灯織はまだ諦めていないんだ
俺もその気持ちに応えないと……！）","(……그래, 히오리는 아직 단념하지 않았어.
나도 그 마음에 부응해줘야 돼……!)"
0000000000000,プロデューサー,"ああ、そうだよな
さっそく、作戦会議しないとな！","아아, 그래 맞아.
지금 바로, 작전 회의 하자!"
7002001040050,灯織,はい。よろしくお願いします,"네, 잘 부탁드릴게요."
info,produce_events/700200104.json,
译者,,
