id,name,text,trans
0000000000000,果穂,"わぁー！　ほんとにあたし、
ヒーローショーに出れるんですね！","와아! 정말로 저, 
히어로 쇼에 나가는 거네요!"
0000000000000,プロデューサー,"司会だけどな
果穂はたくさん見てきたんじゃないか？","사회지만 말야
카호는 잔뜩 보고 왔던거 아니야?"
0000000000000,果穂,"はいっ！　いろんなヒーローショーを見てきました！
そのステージに立てるなんて……スゴいですっ！","넵! 여러가지 히어로쇼를 봤어요!
그 무대에 선다니...대단해요!"
0000000000000,プロデューサー,"果穂にお願いしたいってオファーだったから、
ヒーローに憧れるまっすぐな心が見込まれたんだろうな","카호에게 부탁하고 싶다는 오퍼였으니까,
히어로를 동경하는 솔직한 마음을 보신거겠지"
0000000000000,果穂,"えへへ！　……ヒーローと一緒のステージに
立てるんだから、頑張らなくちゃっ","에헤헤! ......히어로랑 함께 무대에
서는 거니까, 힘내지 않으면 안되겠네요"
0000000000000,果穂,"……みんなでヒーローを呼びましょうー！
せーの……助けてー、ユニバースG！","......모두함께 히어로를 불러보죠ー!
하나 둘.....도와줘요ー, 유니버스G!"
0000000000000,果穂,"みんなー！　ユニバースGに、力を送ってあげてー！
……頑張れー！","모두ー! 유니버스G에게, 힘을 보내줘ー!
......힘내라ー!"
0000000000000,プロデューサー,"（うん、ヒーロー好きなだけあって、パワーを送る
動作が力強い……いい司会ぶりだ！）","( 응, 히어로를 좋아하는 것에 있어, 파워를 보내는
동작이 힘차네.....좋은 사회 솜씨야! )"
0000000000000,果穂,"……これで、本日のイベントは終了になります！
ありがとうございましたーっ！","......이거로, 오늘의 이벤트는 종료가 되었습니다!
감사합니다!"
0000000000000,プロデューサー,"お疲れ様！
会場、すごい盛り上がってたぞ！","수고했어!
회장, 굉장히 분위기가 달아올랐었다고!"
0000000000000,果穂,"はい。ありがとうございますっ
でも……","네. 고맙습니다
그렇지만......"
0000000000000,プロデューサー,果穂、どうかしたのか？,"카호, 무슨일이야?"
0000000000000,果穂,"あ、すみません！　……あの、さっき、小さい女の子の
お客さんがあたしに話しかけてくれたんです","아, 죄송해요! ......저기, 방금, 작은 여자아이
손님이 저에게 말을 걸어주셨는데요"
0000000000000,果穂,"今日、あたしに会えることを
とっても楽しみにしてたって","오늘, 저랑 만나는 게
엄청 기대됐다고 하더라구요"
0000000000000,果穂,"その子はヒーローショーじゃなくて、
あたしのことを観に来たって言ってくれたんですっ","그아이는 히어로쇼가 아니라,
저를 보러 와줬다고 말해줬어요 "
0000000000000,プロデューサー,おお、すごいじゃないか！,"오, 굉장하잖아!"
0000000000000,果穂,"はい！
あたしもスゴくうれしいんですけど、よくわからなくて……","네!
저도 엄청 기쁘지만, 잘 모르겠어서......"
0000000000000,プロデューサー,何がだ？,뭐가 말이니?
0000000000000,果穂,"あたしずっと、ヒーローショーってカッコいいヒーローを
見るところだって思ってたんです","저는 줄곧, 히어로쇼는 멋있는 히어로를
보러 오는 곳이라고 생각하고 있었어요 "
0000000000000,果穂,"でも、ヒーローじゃなくてあたしを観に来た、
ってどういうことなんでしょう？","하지만, 히어로가 아니라 저를 보러 왔다,
란 건 어떻게 된 걸까요?"
select,,"果穂のことが
好きだからだ","카호를
좋아하니까 그래 "
select,,"果穂に憧れているん
じゃないかな","카호를 동경하고
있는 게 아닐까 "
select,,"俺も果穂から目が
離せなかったからな","나도 카호에게서 눈을
뗄 수 없었는 걸"
0000000000000,果穂,"でもヒーローショーなのに、
ヒーローじゃなくてよかったんでしょうか？","하지만 히어로 쇼인데,
히어로를 보러 온게 아니어도 괜찮은 걸까요? "
0000000000000,プロデューサー,"いいと思うぞ。例えば……果穂はヒーローが好きで、
ヒーローショーを見に行ってたんだろう","괜찮다고 생각해. 예를 들면......카호는 히어로가 좋아서, 
히어로쇼를 보러 왔잖니"
0000000000000,果穂,"はい！　カッコいいヒーローを見ると
元気がもらえますからっ","네! 멋있는 히어로를 보면
기운을 받을 수 있으니까요"
0000000000000,プロデューサー,"果穂に話しかけてくれた女の子も、
きっと果穂と一緒なんだよ","카호에게 말을 걸어준 여자아이도,
분명 카호랑 똑같을 거야 "
0000000000000,プロデューサー,"その子はアイドルの果穂が好きで
見に来てくれたんだ","그 아이는 아이돌인 카호가 좋아서
보러 와준 거란다 "
0000000000000,果穂,"そうなんですね！　……あたし、自分がそんな風に
思われてるなんて、考えてもいませんでした！","그렇네요! ......저, 자신이 그런식으로 
여겨진다는 거, 생각지도 못했어요!"
0000000000000,プロデューサー,"果穂はもう、ヒーローみたいな……
誰かにとっての、憧れの存在になってるんだよ","카호는 벌써, 히어로 같은......
누군가에 있어서, 동경하는 존재가 된거란다 "
0000000000000,果穂,"そっか……えへへ！
じゃあ、もっともっと頑張らないとですね！","그런가......에헤헤!
그럼, 더더욱 열심히 하지 않으면 안되겠네요!"
0000000000000,果穂,あたしの好きなヒーローはいっつもカッコいいんです！,제가 좋아하는 히어로는 항상 멋있으니까요!
0000000000000,果穂,"だからあたしもアイドルとして、
もっと憧れてもらえるようにならなくちゃっ","그러니까 저도 아이돌로서,
더욱 동경받을 수 있도록 되지 않으면 안돼요!"
0000000000000,果穂,"あたしに憧れ……
ヒーローよりも、ですか？","저를 동경하는......
히어로 보다도, 말이에요?"
0000000000000,プロデューサー,"ああ。小学生の果穂が、ステージの上でアイドルを
しているのは、その小さな女の子にとっての憧れなんだよ","그래. 초등학생인 카호가, 무대 위에서 아이돌을
하고 있는 것은, 그 작은 여자아이에겐 무엇보다 동경의 대상인거란다 "
0000000000000,果穂,あたしがヒーローに憧れるみたいに、ですか？,"제가 히어로를 동경하는 것처럼, 인가요?"
0000000000000,プロデューサー,"うん。その女の子はアイドル「小宮果穂」みたいに
なりたいのかもな","응. 그 여자아이는 아이돌 「코미야 카호」처럼
되고 싶은 걸지도 몰라 "
0000000000000,果穂,アイドル、小宮果穂……,"아이돌, 코미야 카호......"
0000000000000,果穂,"……プロデューサーさんっ。あたし、
もっと憧れられるようなアイドルになりたいです！","......프로듀서님. 저,
더욱 동경받을 수 있는 아이돌이 되고 싶어요!"
0000000000000,果穂,"それで、あたしがヒーローに元気をもらったみたいに、
もっといろんな人に元気をあげられたらいいなって！","그래서, 제가 히어로에게 기운을 받았던 것처럼, 
더 많은 사람들에게 기운을 줄 수 있으면 좋겠다 라고!"
0000000000000,果穂,"なので、いろんな人の憧れになれるように、
これからもっと頑張りますっ！","그러니까, 여러 사람들에게 동경의 대상이 될 수 있도록,
이제부터 더욱 열심히 할게요! "
0000000000000,果穂,プロデューサーさんは、いつもちゃんと見てくれてますっ,"프로듀서님은, 항상 제대로 봐주고 계시네요 "
