id,name,text,trans
2005009010010,摩美々,寒……,춥다……
0000000000000,プロデューサー,"そうだな
早く事務所に戻ろう","그러게
빨리 사무소로 돌아가자 "
2005009010020,摩美々,……だから冬って嫌なんですよねー,……이러니까 겨울은 싫단 말이죠──
0000000000000,プロデューサー,もう少しの辛抱だ、摩美々,"조금만 더 참아, 마미미"
0000000000000,プロデューサー,事務所は暖房が効いているはずだから,"사무소는 난방이 켜져 있을테니까 "
2005009010030,摩美々,はぁい……,네에……
2005009010040,摩美々,…………,…………
0000000000000,プロデューサー,"摩美々
今、何か聞こえなかったか？","마미미
지금, 뭔가 들리지 않았어?"
2005009010050,摩美々,あー……,아──……
0000000000000,プロデューサー,なんか、鈴の音みたいな……,"뭔가, 방울소리 같은……"
2005009010060,摩美々,…………！,………… !
0000000000000,プロデューサー,"おお、イルミネーション……
もうそんな時期か","오오, 일루미네이션……
벌써 그런 시기인가"
0000000000000,プロデューサー,綺麗だな……！,예쁘네…… !
2005009010070,摩美々,"えー……
そうですかぁ？","에──……
그런가요오?"
2005009010080,摩美々,"そんなふうにはしゃぐなんてー
プロデューサー、子どもみたいですねー","그런식으로 들뜨다니──
프로듀서, 어린애 같네요──"
0000000000000,プロデューサー,"なんだ、摩美々は
テンション上がらないか？","뭐야, 마미미는
텐션오르지 않는거야?"
2005009010090,摩美々,"こんな寒いのにテンション上がるなんて
信じられないですー","이런 추위에 텐션이 오르다니
믿을 수가 없네요──"
0000000000000,プロデューサー,はは……そうか,하하…… 그렇구나
0000000000000,プロデューサー,"でも、冬は寒くて空気が澄んでるから
こんなふうにイルミネーションが綺麗に見えるらしいぞ","그치만, 겨울은 춥고 공기가 맑아서
이런 식으로 일루미네이션이 아름답게 보인다는 듯 해"
0000000000000,プロデューサー,"そう考えれば
寒いのも悪くないんじゃないか？","그렇게 생각하면
추운 것도 나쁘지 않지 않을까?"
2005009010100,摩美々,"それでも私は断然
あったかい方が嬉しいですねー","그래도 저는 단연코
따뜻한 쪽이 기쁘네요──"
0000000000000,プロデューサー,"まあ、確かに
摩美々は寒いの苦手だもんな","뭐, 확실히
마미미는 추운 게 질색이지"
2005009010110,摩美々,…………,…………
2005009010120,摩美々,それだけが理由じゃ無いんですケドー,그것만이 이유는 아니지만요──
0000000000000,プロデューサー,なんだ、他にも理由があるのか？,"뭐야, 다른 이유가 있는 거야?"
2005009010130,摩美々,…………,…………
2005009010140,摩美々,"イルミネーションを綺麗って思うのが
当たり前とか……","일루미네이션을 아름답다고 느끼는 게
당연하다던가……"
2005009010150,摩美々,"そういうのが幸せなんだって
決めつけられてるみたいな","그런 게 행복이라고 
정해져 있다는 듯한 "
2005009010160,摩美々,"そういう雰囲気が
苦手だったってだけですー","그런 분위기가
질색이었다란 거 뿐이에요──"
0000000000000,プロデューサー,そうか……、なるほどな,"그렇구나……, 과연 "
0000000000000,プロデューサー,摩美々はそういうふうに考えるんだな,"마미미는 그런 식으로 생각하는 거구나 "
2005009010170,摩美々,まぁ……そうですねー,뭐…… 그렇죠
0000000000000,プロデューサー,"……でも『苦手だった』ってことは
過去形、だよな？","……하지만 『질색이었다』라는 건
과거형, 이지?"
2005009010180,摩美々,…………！,………… !
2005009010190,摩美々,……別に,……딱히
2005009010200,摩美々,"……最近は、まわりに
いつも騒がしい人たちがいるんで","……최근엔, 주위에
항상 시끄러운 사람들만 있어서 "
2005009010210,摩美々,"そんなこと思ってる
余裕もないってだけですよー","그런 걸 생각할
여유도 없다란 거예요──"
0000000000000,プロデューサー,"はは、それもそうか
摩美々のまわりは賑やかだもんな","하하, 그것도 그런가
마미미의 주위는 시끌벅적하니까"
2005009010220,摩美々,……プロデューサーを筆頭に、なんですケド,"……프로듀서를 필두로, 지만요"
0000000000000,プロデューサー,えっ、俺か！？,"뭐, 내가! ?"
2005009010230,摩美々,"……自覚ナシって
一番やばいやつじゃないですかぁ……ふふー","……자각이 없다니
가장 위험한 거 아닌가요오……후후──"
0000000000000,プロデューサー,でも……,그치만……
select,,"賑やかなのも
悪くないだろ","시끌벅적한 것도
나쁘지 않잖아"
select,,"これからもっと
賑やかにしていこう","앞으로 더욱
시끌벅적하게 가자 "
select,,"摩美々も
賑やかの一部だ","마미미도
시끌벅적의 일부야 "
2005009010240,摩美々,別に、悪いとは言ってないですケド,"딱히, 나쁘다고는 말하지 않았는데요 "
0000000000000,プロデューサー,"きっとみんな摩美々といると楽しくて
つい盛り上がってしまうんだろうな","분명 모두 마미미랑 있으면 즐거워서 
무심코 텐션이 올라가 버리는 거겠지 "
2005009010250,摩美々,"……それって
プロデューサーもですかぁ？","……그렇다는 건
프로듀서도 말인가요오?"
0000000000000,プロデューサー,ああ、もちろん！,"그래, 물론이지!"
