id,name,text,trans
3005010020010,恋鐘,ふぇ～～～！,후에~~~!
3005010020020,恋鐘,桜のきれか～～……！,벚꽃이 흩날리는구마~~……！
3005010020030,摩美々,……くしゅん,……엣취
3005010020040,結華,"──あれ、まみみん花粉症？
大丈夫？","어라, 마미밍 꽃가루 알레르기？
괜찮아？"
3005010020050,摩美々,"いや……
そんなことないと思うケド……","아니……
그런 건 아니라고 생각하는데……"
3005010020060,恋鐘,"摩美々～！　結華～！
見てみんね～！！！","마미미~！ 유이카~！
함 보드라고~！！！"
3005010020070,恋鐘,きれか～～……！,이쁘구마~~……！
3005010020080,摩美々,…………,…………
3005010020090,摩美々,恋鐘、それいつも言ってなぁい？,"코가네, 그거 항상 말하고 있지 않아？"
3005010020100,結華,あははっ,아하핫
3005010020110,結華,"確かに桜に対するこがたんって、
いつも『初めて見た人』みたいなリアクションかも！","확실히 벚꽃을 보는 코가땅은,
항상 『처음 본 사람』같은 리액션일지도！"
3005010020120,恋鐘,"ふぇ……
む、無意識やった……！","후에……
무, 무의식적으로 해부렸구마……！"
3005010020130,恋鐘,"でも、桜はすぐいなくなってしまうけん
きれか～ってうちに堪能しとかんば！","그래도, 벚꽃은 금방 없어져 버리니께
이쁘구마~허는 동안 만끽허야제！"
3005010020140,摩美々,ふーん……,흐응……
3005010020150,摩美々,"…………そう思うと、
確かに綺麗な気がしてこなくもなくも……","…………그렇게 생각하면,
확실히 예쁜 것 같은 느낌이 들 것 같기도 아닌 것 같기도……"
3005010020160,恋鐘,やろ～～？,그라제~~？
3005010020170,摩美々,"──ケド、
綺麗な花には棘があるって言うよねー","그래도,
예쁜 꽃에는 가시가 있다고도 한단말이지"
3005010020171,恋鐘＆結華,……？,……？
3005010020180,摩美々,……ふたりとも、知ってるー？,"……두 사람 다, 알고 있어？"
3005010020190,摩美々,"桜の花びらのピンク色って、
桜の木の下に埋まってる──","벚꽃이 휘날리는 핑크색은,
벚나무 밑에 뭍혀있는"
3005010020200,結華,"──あ～～！　なんか三峰、
きれか～な桜をもっと堪能したくなってきたなぁ！","아~~！ 왠지 미츠미네,
이쁘구마~ 한 벚꽃을 좀 더 만끽하고 싶어졌는 걸！"
3005010020210,摩美々,ちょっと三峰ー……,잠깐 미츠미네……
3005010020220,結華,ごめん！　ごめんだけども！,미안！ 미안하긴한데！
3005010020230,結華,"こがたんの純情はさぁ……！
守りたいじゃん……！","코가땅의 순정은……！
지키고 싶어지잖아……！"
3005010020240,結華,"──ってことでこがたん！
この春おすすめのお花見プラン、持ってたりしない？","그런 고로 코가땅！
이번 봄에 추천할만한 꽃놀이 플랜, 가지고 있다거나 하지 않아？"
3005010020250,恋鐘,お花見プラン～～？,꽃놀이 플랜~~？
3005010020260,恋鐘,"ん～……
お団子とサンドイッチば持って……","음~……
경단이랑 샌드위치를 가지고……"
3005010020270,恋鐘,"そいで、
アンティーカみんなで桜ば見る！！！","거기에,
안티카 모두랑 같이 벚꽃을 보는겨！！！"
3005010020280,結華,"おお～っ！
いいねぇいいねぇ！","오오~！
좋네 좋네！"
3005010020290,摩美々,"えー……
お花見って、ただ桜を見るだけで──","에……
꽃놀이는, 그냥 벚꽃을 보는 것 뿐이잖아"
3005010020300,摩美々,──くしゅん,엣취
3005010020310,結華,"……
やっぱりまみみん、花粉症疑惑が濃厚じゃない？","……
역시 마미밍, 꽃가루 알레르기 의혹이 짙지않아？"
3005010020320,摩美々,んー……,음……
3005010020330,摩美々,"……なんかぁ
あったかくて、眩しいからかもー","……왠지
따뜻하고, 눈부셔서 그런걸지도"
3005010020340,恋鐘,"なんねそれ～？
温か～と眩しか～で、くしゃみの出ると？","뭐시당가 그건~？
뜨끈혀~랑 눈부셔~로, 재채기가 나온다고？"
3005010020350,摩美々,"そーそー
そんな感じみたいなぁ","그래 그래
그런 느낌 비슷한걸"
3005010020360,恋鐘,ん～～～……,음~~~……
3005010020370,恋鐘,あ～～！,아~~！
3005010020380,恋鐘,"摩美々、上着ば中途半端に着とるけん
体冷やしたっちゃなかと！？","마미미, 웃옷을 어중간하게 입고있응께
몸이 식어버린거 아녀!?"
3005010020390,摩美々,や、だからぁ……,"아니, 그러니까……"
3005010020400,恋鐘,摩美々、いつもどっか寒そうやもん……！,"마미미, 항상 어딘가 쌀쌀해 보이니께……！"
3005010020410,恋鐘,"ほら～
ちゃんと着らんね～？","자～
똑바로 입어 보드라고~？"
3005010020420,摩美々,……え,……에
3005010020430,摩美々,"ちょっとー……
あったかいって言ったばっかりでしょー","잠깐만……
따뜻하다고 좀 전에 말했잖아"
3005010020440,結華,ふふふ……！,후후후……！
3005010020450,摩美々,三峰も、笑ってないでー,"미츠미네도, 웃지만 말고"
3005010020460,結華,……いやぁ、春ですねぇ,"……이야, 봄이구나"
3005010020470,摩美々,……何その適当なコメントー……,……뭐야 그 적당히 내뱉는 코멘트는……
3005010020480,恋鐘,んふふ～！　春やね～！,응후후~！ 봄이구마~！
3005010020490,摩美々,……ちょっとー,……잠깐만
3005010020500,摩美々,…………くしゅん,…………엣취
info,produce_events/300501002.json,
译者,,
