id,name,text,trans
1003001001310010,めぐる,ねえ、プロデューサー。何か困ってることとかない？,"저기, 프로듀서 뭔가 고민거리 같은 거 없어?"
0000000000000,プロデューサー,なんでだ？,어째서?
1003001001310020,めぐる,"プロデューサーにはいつもお世話になってるし、
たまには恩返しをしないとって思ったんだ！","프로듀서에겐 항상 신세를 지고 있고,
가끔씩은 보답을 해야지 싶었어!"
0000000000000,プロデューサー,"（めぐるの恩返し、か。
気持ちは嬉しいが、そうだなぁ……）","( 메구루의 보답, 인가.
마음은 기쁘지만, 글쎄…… )"
select,,"お礼を言うのは
俺のほうだよ","감사를 말해야 할 건
나야 "
select,,サプライズで頼む,서프라이즈로 부탁할게
select,,出世返しでいいよ,"출세해서 돌려주면 돼 "
1003001001310030,めぐる,"えー、プロデューサーがお礼しちゃうの！？
お世話になってるのはわたしの方なのに！？","에, 프로듀서가 답례하는 거야! ?
신세를 지고 있는 건 내 쪽인데! ?"
1003001001310040,めぐる,"……えへへ！　でも、嬉しいな！
それじゃあわたしは、これからもアイドル、頑張るね！","……에헤헤! 그치만, 기쁘네!
그러면 나는, 앞으로도 아이돌, 열심히 할게!"
0000000000000,プロデューサー,（よし、楽しく話せたな）,"( 좋아, 즐겁게 이야기 했어 )"
1003001001310050,めぐる,"サプライズってわかってたら、
サプライズにならないよー！","서프라이즈란 걸 알아버리면,
서프라이즈가 안 되잖아!"
1003001001310060,めぐる,"……あっ、そっか！
それでも驚いちゃうような恩返しを考えればいいんだね？","……앗, 그런가!
그래도 놀라 버리는 보답을 생각하면 되는 거네?"
0000000000000,プロデューサー,（まぁ、普通に話せたかな）,"( 뭐, 평범하게 이야기 했나 )"
1003001001310070,めぐる,えー！　わたしは今すぐお礼がしたいのにー！,에! 나는 지금 바로 답례를 하고 싶은데!
1003001001310080,めぐる,プロデューサーがそれでいいなら、いいけど……,"프로듀서가 그거로 괜찮다고 하면, 괜찮지만……"
0000000000000,プロデューサー,（うっ……しまった。別のことを言えば良かったな……）,( 윽....... 실수다. 다른 애기를 했다면 좋았을 걸....... )
info,produce_communications/100300100131.json,
译者,,
