id,name,text,trans
0000000000000,プロデューサー,"──ああ、小糸
ちょっといいかな","아, 코이토
잠깐 괜찮을까"
1022001020010,小糸,ぴゃ……！？,뺘......!?
1022001020020,小糸,…………な、なんでしょう……！,"............무, 무슨 일이신가요......!"
0000000000000,プロデューサー,"悪い、驚かせちゃったな
ちょっといいか？","미안, 놀래켜버렸네
잠시 괜찮니?"
1022001020030,小糸,…………！,............!
0000000000000,プロデューサー,"そんなに警戒しなくても大丈夫だ
別に怒ったり叱ったりするわけじゃない","그렇게 경계하지 않아도 괜찮아
딱히 화내거나 혼내려는 게 아냐"
1022001020040,小糸,…………は、はい……！,"............아, 네......!"
0000000000000,プロデューサー,"それで、これ……２８３プロに所属するにあたって
親御さんから書類、貰ってきてくれただろ？","그래서, 이거......283프로덕션에 소속되기에 앞서서
부모님들께 서류, 받아왔잖아?"
1022001020050,小糸,"…………！
そそそそれが何か！　不備でもありましたか……！？","............!
그그그그게 뭔가! 빠진 거라도 있었나요......!?"
0000000000000,プロデューサー,"いや、これ自体には不備は無いよ
ただこれから本格的な活動していくにはさ","아니, 서류 자체는 문제 없었어
다만 이제 본격적으로 활동하기 전에 말야"
0000000000000,プロデューサー,"直接お会いしてご挨拶、
というか説明と確認をさせてもらいたいんだ","직접 뵈어서 인사드리고,
어떤 활동인지 설명한 다음 확인시켜 드리고 싶거든"
0000000000000,プロデューサー,"ご両親とも忙しいってことだったけど
このまま小糸の活動を進めていくわけにもいかない","부모님 두 분 다 바쁘시겠지만
이대로 코이토의 활동을 진행할 순 없어"
1022001020060,小糸,……………………,........................
0000000000000,プロデューサー,やっぱり、忙しそうか？,"역시, 바쁘실 것 같니?"
1022001020070,小糸,………………はい,..................네
0000000000000,プロデューサー,そうか……じゃあ一度電話させてもらって……,그런가...... 그럼 한 번 전화드려서......
1022001020080,小糸,"え……っ
あ、えっと……！","에......
아, 저기......!"
1022001020090,小糸,"確認！　してみます……
わたしから……！","확인! 해 볼게요......
제가 먼저......!"
0000000000000,プロデューサー,"ああ、そうか？　こっちの都合はつけるから、
親御さんの都合のいい日を聞いてみてくれ","아, 그래? 우리쪽 사정은 맞출 테니까,
부모님께 편한 날을 물어봐 줬으면 해"
1022001020100,小糸,……わ、わかりました…………,"......아, 알겠습니다............"
1022001020110,小糸,……………………,........................
0000000000000,プロデューサー,"……そういえば、小糸は成績がいいらしいな
勉強とレッスンの両立は大丈夫そうか？","......그러고 보니, 코이토는 성적이 좋은 것 같던데
공부랑 레슨의 병행은 괜찮을 것 같니?"
1022001020120,小糸,………………はい……,..................네......
0000000000000,プロデューサー,"……レッスン、やってみてどうだった？
何か困ってることとかあるか？","......레슨, 해보고 어땠어?
뭔가 곤란한 점 같은 거 있어?"
1022001020130,小糸,………………いえ……,..................아뇨......
0000000000000,プロデューサー,"ああ、そういえば
トレーナーが褒めてたぞ","아, 그러고 보니
트레이너분이 칭찬했었어"
0000000000000,プロデューサー,"さすが幼馴染だけあって、
みんな息があってるって","역시 소꿉친구들만 있어서 그런지,
다들 호흡이 잘 맞았대"
1022001020140,小糸,"…………！
え……","............!
에......"
1022001020150,小糸,それ、本当ですか……！,"그거, 정말인가요......!"
0000000000000,プロデューサー,"ああ、タイプはバラバラなのに
一体感があるって","응, 타입은 제각각인데도
일체감이 있다고 했어"
0000000000000,プロデューサー,……俺もそう思うよ,......나도 그렇게 생각해
1022001020160,小糸,え……えへへ,에...... 에헤헤
0000000000000,プロデューサー,それに小糸は真面目で一生懸命だって,게다가 코이토는 성실하고 열심이래
1022001020170,小糸,わぁ…………！,와아............!
0000000000000,プロデューサー,"そういうところが他のメンバーにも
いい影響を与えてるって聞いたよ","그런 부분이 다른 멤버들한테도 
좋은 영향을 준다고 들었어"
1022001020180,小糸,"え、えっへん……！
そうなんです！","에, 엣헴......!
그렇다구요!"
1022001020190,小糸,みんな、わたしがいないとだめなんですよー！,"다들, 제가 없으면 안된다구요ー!"
0000000000000,プロデューサー,はは、ああ,"하하, 응"
select,,頼りにしてるよ,의지하고 있어
select,,頑張っていこうな,열심히 하자
select,,聞いていたとおりだ,듣던 대로네
0000000000000,プロデューサー,プロデューサーとしても,프로듀서로서도
1022001020200,小糸,"はい……！
み、みんなのことなら任せてくださいね！","네......!
모, 모두에 대한 거라면 맡겨만 주세요!"
0000000000000,プロデューサー,あはは、そうだな,"아하하, 그렇지"
0000000000000,プロデューサー,"小糸がみんなにいい影響を与えてるって
わかる気がするな","코이토가 모두한테 좋은 영향을 준다는 게
무슨 뜻인지 알 것 같아"
0000000000000,プロデューサー,小糸を見てると頑張ろうって思えるもんな？,코이토를 보고 있으면 열심히 하자는 생각이 드는 거겠지?
1022001020210,小糸,"ええ……それって
どういう意味ですか……！？","에에...... 그건
어떤 의미인가요......!?"
1022001020220,小糸,ちょっと、プロデューサーさーん！,"잠깐만요, 프로듀서님!"
0000000000000,プロデューサー,みんなのためにも、もちろん小糸のためにも,"모두를 위해서도, 물론 코이토를 위해서도"
0000000000000,プロデューサー,"わからないこととか、不安なこととか
なんでも聞いてくれ","모르는 거라든가, 불안한 거라든가
뭐든 물어봐줘"
1022001020230,小糸,"…………！
あの……わ、わたし…………","............!
저기...... 저, 저............"
1022001020240,小糸,わたし、そんなの無いですよー！,"저, 그런 거 없다구요ー!"
